field.header.seq,field.header.stamp,field.header.fream_if,field.status,field.status.service,field.latitude,field.longitude,field.altitude,position_covariance0,position_covariance1,position_covariance2,position_covariance3,position_covariance4,position_covariance5,position_covariance6,position_covariance7,position_covariance8,position_covariance_type
1701,1660893882.657610591,gps,0,0,35.6532841617,139.7925366133,4.2560000000,0,0,0,0,0,0,0,0,0,0
1702,1660893882.856327248,gps,0,0,35.6532841550,139.7925366050,4.2600000000,0,0,0,0,0,0,0,0,0,0
1703,1660893883.063657586,gps,0,0,35.6532841450,139.7925365783,4.2540000000,0,0,0,0,0,0,0,0,0,0
1704,1660893883.269166024,gps,0,0,35.6532841683,139.7925365483,4.2580000000,0,0,0,0,0,0,0,0,0,0
1705,1660893883.459292091,gps,0,0,35.6532842050,139.7925365333,4.2610000000,0,0,0,0,0,0,0,0,0,0
1706,1660893883.660398678,gps,0,0,35.6532841967,139.7925365433,4.2600000000,0,0,0,0,0,0,0,0,0,0
1707,1660893883.852525605,gps,0,0,35.6532842233,139.7925365800,4.2560000000,0,0,0,0,0,0,0,0,0,0
1708,1660893884.064740783,gps,0,0,35.6532842333,139.7925366083,4.2580000000,0,0,0,0,0,0,0,0,0,0
1709,1660893884.272809492,gps,0,0,35.6532842400,139.7925366350,4.2610000000,0,0,0,0,0,0,0,0,0,0
1710,1660893884.459384050,gps,0,0,35.6532842267,139.7925366350,4.2600000000,0,0,0,0,0,0,0,0,0,0
1711,1660893884.658598398,gps,0,0,35.6532842150,139.7925366050,4.2650000000,0,0,0,0,0,0,0,0,0,0
1712,1660893884.857418281,gps,0,0,35.6532841883,139.7925365800,4.2650000000,0,0,0,0,0,0,0,0,0,0
1713,1660893885.065495879,gps,0,0,35.6532841933,139.7925365900,4.2590000000,0,0,0,0,0,0,0,0,0,0
1714,1660893885.264547566,gps,0,0,35.6532841533,139.7925366183,4.2570000000,0,0,0,0,0,0,0,0,0,0
1715,1660893885.470432852,gps,0,0,35.6532841650,139.7925365683,4.2590000000,0,0,0,0,0,0,0,0,0,0
1716,1660893885.652639347,gps,0,0,35.6532842017,139.7925365500,4.2480000000,0,0,0,0,0,0,0,0,0,0
1717,1660893885.857602751,gps,0,0,35.6532842000,139.7925365183,4.2490000000,0,0,0,0,0,0,0,0,0,0
1718,1660893886.066123840,gps,0,0,35.6532842183,139.7925365550,4.2430000000,0,0,0,0,0,0,0,0,0,0
1719,1660893886.267514575,gps,0,0,35.6532842183,139.7925365400,4.2450000000,0,0,0,0,0,0,0,0,0,0
1720,1660893886.459021318,gps,0,0,35.6532842450,139.7925365417,4.2480000000,0,0,0,0,0,0,0,0,0,0
1721,1660893886.657507100,gps,0,0,35.6532841750,139.7925365300,4.2520000000,0,0,0,0,0,0,0,0,0,0
1722,1660893886.859119748,gps,0,0,35.6532841450,139.7925364683,4.2490000000,0,0,0,0,0,0,0,0,0,0
1723,1660893887.064487028,gps,0,0,35.6532841983,139.7925364483,4.2420000000,0,0,0,0,0,0,0,0,0,0
1724,1660893887.264407099,gps,0,0,35.6532841983,139.7925363950,4.2360000000,0,0,0,0,0,0,0,0,0,0
1725,1660893887.452638302,gps,0,0,35.6532842750,139.7925363867,4.2340000000,0,0,0,0,0,0,0,0,0,0
1726,1660893887.658923028,gps,0,0,35.6532842700,139.7925364317,4.2400000000,0,0,0,0,0,0,0,0,0,0
1727,1660893887.857726298,gps,0,0,35.6532842583,139.7925364067,4.2420000000,0,0,0,0,0,0,0,0,0,0
1728,1660893888.069167181,gps,0,0,35.6532841783,139.7925363617,4.2480000000,0,0,0,0,0,0,0,0,0,0
1729,1660893888.264592855,gps,0,0,35.6532841017,139.7925362983,4.2400000000,0,0,0,0,0,0,0,0,0,0
1730,1660893888.468276091,gps,0,0,35.6532840417,139.7925362683,4.2390000000,0,0,0,0,0,0,0,0,0,0
1731,1660893888.660223311,gps,0,0,35.6532840267,139.7925362467,4.2470000000,0,0,0,0,0,0,0,0,0,0
1732,1660893888.855501536,gps,0,0,35.6532840100,139.7925362050,4.2500000000,0,0,0,0,0,0,0,0,0,0
1733,1660893889.061495365,gps,0,0,35.6532840000,139.7925362567,4.2510000000,0,0,0,0,0,0,0,0,0,0
1734,1660893889.262354415,gps,0,0,35.6532839967,139.7925362567,4.2530000000,0,0,0,0,0,0,0,0,0,0
1735,1660893889.457430418,gps,0,0,35.6532839500,139.7925362100,4.2560000000,0,0,0,0,0,0,0,0,0,0
1736,1660893889.656694348,gps,0,0,35.6532838600,139.7925361600,4.2610000000,0,0,0,0,0,0,0,0,0,0
1737,1660893889.855522189,gps,0,0,35.6532838483,139.7925360733,4.2470000000,0,0,0,0,0,0,0,0,0,0
1738,1660893890.063621497,gps,0,0,35.6532838250,139.7925360700,4.2410000000,0,0,0,0,0,0,0,0,0,0
1739,1660893890.263841580,gps,0,0,35.6532837800,139.7925361083,4.2520000000,0,0,0,0,0,0,0,0,0,0
1740,1660893890.457324563,gps,0,0,35.6532837567,139.7925361267,4.2520000000,0,0,0,0,0,0,0,0,0,0
1741,1660893890.660283774,gps,0,0,35.6532837950,139.7925361533,4.2410000000,0,0,0,0,0,0,0,0,0,0
1742,1660893890.855584663,gps,0,0,35.6532837717,139.7925361817,4.2420000000,0,0,0,0,0,0,0,0,0,0
1743,1660893891.056397705,gps,0,0,35.6532838250,139.7925362083,4.2390000000,0,0,0,0,0,0,0,0,0,0
1744,1660893891.261629805,gps,0,0,35.6532838533,139.7925362517,4.2430000000,0,0,0,0,0,0,0,0,0,0
1745,1660893891.454389761,gps,0,0,35.6532839000,139.7925362917,4.2420000000,0,0,0,0,0,0,0,0,0,0
1746,1660893891.655382652,gps,0,0,35.6532839417,139.7925363200,4.2460000000,0,0,0,0,0,0,0,0,0,0
1747,1660893891.852624608,gps,0,0,35.6532839617,139.7925363600,4.2450000000,0,0,0,0,0,0,0,0,0,0
1748,1660893892.058353156,gps,0,0,35.6532839683,139.7925363617,4.2440000000,0,0,0,0,0,0,0,0,0,0
1749,1660893892.261303746,gps,0,0,35.6532839150,139.7925363883,4.2490000000,0,0,0,0,0,0,0,0,0,0
1750,1660893892.455281752,gps,0,0,35.6532839783,139.7925364050,4.2500000000,0,0,0,0,0,0,0,0,0,0
1751,1660893892.655355674,gps,0,0,35.6532840467,139.7925364200,4.2550000000,0,0,0,0,0,0,0,0,0,0
1752,1660893892.850447755,gps,0,0,35.6532840800,139.7925364017,4.2500000000,0,0,0,0,0,0,0,0,0,0
1753,1660893893.062610322,gps,0,0,35.6532841550,139.7925363617,4.2500000000,0,0,0,0,0,0,0,0,0,0
1754,1660893893.262150335,gps,0,0,35.6532843700,139.7925363467,4.2470000000,0,0,0,0,0,0,0,0,0,0
1755,1660893893.457591677,gps,0,0,35.6532845317,139.7925365033,4.2460000000,0,0,0,0,0,0,0,0,0,0
1756,1660893893.656812302,gps,0,0,35.6532848033,139.7925367183,4.2430000000,0,0,0,0,0,0,0,0,0,0
1757,1660893893.855268902,gps,0,0,35.6532850117,139.7925369133,4.2470000000,0,0,0,0,0,0,0,0,0,0
1758,1660893894.064198503,gps,0,0,35.6532855100,139.7925372817,4.2430000000,0,0,0,0,0,0,0,0,0,0
1759,1660893894.272397612,gps,0,0,35.6532861317,139.7925378450,4.2440000000,0,0,0,0,0,0,0,0,0,0
1760,1660893894.456461639,gps,0,0,35.6532868500,139.7925390700,4.2300000000,0,0,0,0,0,0,0,0,0,0
1761,1660893894.652699121,gps,0,0,35.6532874017,139.7925402983,4.2330000000,0,0,0,0,0,0,0,0,0,0
1762,1660893894.854722866,gps,0,0,35.6532876200,139.7925413317,4.2640000000,0,0,0,0,0,0,0,0,0,0
1763,1660893895.064523373,gps,0,0,35.6532881600,139.7925422967,4.2650000000,0,0,0,0,0,0,0,0,0,0
1764,1660893895.267602919,gps,0,0,35.6532891750,139.7925432667,4.2540000000,0,0,0,0,0,0,0,0,0,0
1765,1660893895.457689954,gps,0,0,35.6532899750,139.7925439083,4.2690000000,0,0,0,0,0,0,0,0,0,0
1766,1660893895.658379609,gps,0,0,35.6532909800,139.7925450183,4.2740000000,0,0,0,0,0,0,0,0,0,0
1767,1660893895.857548758,gps,0,0,35.6532919367,139.7925467550,4.2530000000,0,0,0,0,0,0,0,0,0,0
1768,1660893896.064217930,gps,0,0,35.6532928783,139.7925483117,4.2700000000,0,0,0,0,0,0,0,0,0,0
1769,1660893896.266056099,gps,0,0,35.6532937767,139.7925496183,4.2740000000,0,0,0,0,0,0,0,0,0,0
1770,1660893896.451698609,gps,0,0,35.6532947100,139.7925509617,4.2680000000,0,0,0,0,0,0,0,0,0,0
1771,1660893896.659063279,gps,0,0,35.6532959417,139.7925522800,4.2770000000,0,0,0,0,0,0,0,0,0,0
1772,1660893896.857588094,gps,0,0,35.6532967467,139.7925534833,4.3050000000,0,0,0,0,0,0,0,0,0,0
1773,1660893897.065057173,gps,0,0,35.6532978400,139.7925550733,4.3100000000,0,0,0,0,0,0,0,0,0,0
1774,1660893897.264345027,gps,0,0,35.6532991667,139.7925568300,4.2980000000,0,0,0,0,0,0,0,0,0,0
1775,1660893897.456268427,gps,0,0,35.6533001533,139.7925581700,4.3050000000,0,0,0,0,0,0,0,0,0,0
1776,1660893897.666412845,gps,0,0,35.6533011667,139.7925595433,4.2970000000,0,0,0,0,0,0,0,0,0,0
1777,1660893897.855279997,gps,0,0,35.6533023700,139.7925611467,4.2840000000,0,0,0,0,0,0,0,0,0,0
1778,1660893898.060411003,gps,0,0,35.6533035283,139.7925623217,4.2980000000,0,0,0,0,0,0,0,0,0,0
1779,1660893898.265335538,gps,0,0,35.6533044250,139.7925637067,4.3050000000,0,0,0,0,0,0,0,0,0,0
1780,1660893898.454988630,gps,0,0,35.6533054983,139.7925655067,4.2860000000,0,0,0,0,0,0,0,0,0,0
1781,1660893898.654990781,gps,0,0,35.6533065433,139.7925670267,4.3050000000,0,0,0,0,0,0,0,0,0,0
1782,1660893898.858365888,gps,0,0,35.6533074233,139.7925682700,4.3140000000,0,0,0,0,0,0,0,0,0,0
1783,1660893899.060555045,gps,0,0,35.6533087183,139.7925700750,4.2960000000,0,0,0,0,0,0,0,0,0,0
1784,1660893899.259799573,gps,0,0,35.6533102767,139.7925717383,4.2950000000,0,0,0,0,0,0,0,0,0,0
1785,1660893899.455580025,gps,0,0,35.6533111400,139.7925732417,4.3270000000,0,0,0,0,0,0,0,0,0,0
1786,1660893899.655589531,gps,0,0,35.6533122533,139.7925750183,4.3060000000,0,0,0,0,0,0,0,0,0,0
1787,1660893899.854689530,gps,0,0,35.6533134483,139.7925768267,4.3140000000,0,0,0,0,0,0,0,0,0,0
1788,1660893900.055347338,gps,0,0,35.6533144083,139.7925780833,4.3340000000,0,0,0,0,0,0,0,0,0,0
