%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1660892841.663796504,1711,1660892841.663796504,gps,0,0,35.6533145317,139.7924910617,4.3110000000,0,0,0,0,0,0,0,0,0,0
1660892841.866919818,1712,1660892841.866919818,gps,0,0,35.6533145800,139.7924910467,4.3130000000,0,0,0,0,0,0,0,0,0,0
1660892842.072049450,1713,1660892842.072049450,gps,0,0,35.6533146317,139.7924910350,4.3160000000,0,0,0,0,0,0,0,0,0,0
1660892842.275794093,1714,1660892842.275794093,gps,0,0,35.6533147000,139.7924910567,4.3150000000,0,0,0,0,0,0,0,0,0,0
1660892842.468009219,1715,1660892842.468009219,gps,0,0,35.6533147217,139.7924910900,4.3140000000,0,0,0,0,0,0,0,0,0,0
1660892842.668254425,1716,1660892842.668254425,gps,0,0,35.6533147317,139.7924911233,4.3170000000,0,0,0,0,0,0,0,0,0,0
1660892842.867863020,1717,1660892842.867863020,gps,0,0,35.6533147300,139.7924911467,4.3110000000,0,0,0,0,0,0,0,0,0,0
1660892843.073831056,1718,1660892843.073831056,gps,0,0,35.6533146967,139.7924911167,4.3150000000,0,0,0,0,0,0,0,0,0,0
1660892843.273717591,1719,1660892843.273717591,gps,0,0,35.6533146667,139.7924910867,4.3150000000,0,0,0,0,0,0,0,0,0,0
1660892843.467743261,1720,1660892843.467743261,gps,0,0,35.6533146000,139.7924910500,4.3180000000,0,0,0,0,0,0,0,0,0,0
1660892843.666982204,1721,1660892843.666982204,gps,0,0,35.6533145817,139.7924910633,4.3090000000,0,0,0,0,0,0,0,0,0,0
1660892843.864922556,1722,1660892843.864922556,gps,0,0,35.6533145567,139.7924910717,4.3140000000,0,0,0,0,0,0,0,0,0,0
1660892844.075304448,1723,1660892844.075304448,gps,0,0,35.6533145950,139.7924910950,4.3110000000,0,0,0,0,0,0,0,0,0,0
1660892844.284540713,1724,1660892844.284540713,gps,0,0,35.6533146567,139.7924911483,4.3100000000,0,0,0,0,0,0,0,0,0,0
1660892844.467961033,1725,1660892844.467961033,gps,0,0,35.6533147517,139.7924911633,4.3150000000,0,0,0,0,0,0,0,0,0,0
1660892844.668881956,1726,1660892844.668881956,gps,0,0,35.6533147867,139.7924910917,4.3210000000,0,0,0,0,0,0,0,0,0,0
1660892844.866925030,1727,1660892844.866925030,gps,0,0,35.6533148633,139.7924910417,4.3160000000,0,0,0,0,0,0,0,0,0,0
1660892845.071784039,1728,1660892845.071784039,gps,0,0,35.6533148517,139.7924910150,4.3150000000,0,0,0,0,0,0,0,0,0,0
1660892845.268493873,1729,1660892845.268493873,gps,0,0,35.6533148783,139.7924910183,4.3150000000,0,0,0,0,0,0,0,0,0,0
1660892845.468011155,1730,1660892845.468011155,gps,0,0,35.6533148883,139.7924910150,4.3180000000,0,0,0,0,0,0,0,0,0,0
1660892845.667686852,1731,1660892845.667686852,gps,0,0,35.6533149050,139.7924909900,4.3130000000,0,0,0,0,0,0,0,0,0,0
1660892845.868581651,1732,1660892845.868581651,gps,0,0,35.6533149017,139.7924909233,4.3190000000,0,0,0,0,0,0,0,0,0,0
1660892846.073762806,1733,1660892846.073762806,gps,0,0,35.6533149233,139.7924909083,4.3190000000,0,0,0,0,0,0,0,0,0,0
1660892846.279714907,1734,1660892846.279714907,gps,0,0,35.6533149600,139.7924909017,4.3110000000,0,0,0,0,0,0,0,0,0,0
1660892846.469956953,1735,1660892846.469956953,gps,0,0,35.6533149817,139.7924909150,4.3120000000,0,0,0,0,0,0,0,0,0,0
1660892846.669868978,1736,1660892846.669868978,gps,0,0,35.6533149633,139.7924908817,4.3140000000,0,0,0,0,0,0,0,0,0,0
1660892846.868746755,1737,1660892846.868746755,gps,0,0,35.6533149650,139.7924908733,4.3090000000,0,0,0,0,0,0,0,0,0,0
1660892847.069822812,1738,1660892847.069822812,gps,0,0,35.6533149633,139.7924908417,4.3100000000,0,0,0,0,0,0,0,0,0,0
1660892847.269537455,1739,1660892847.269537455,gps,0,0,35.6533149667,139.7924908283,4.3090000000,0,0,0,0,0,0,0,0,0,0
1660892847.468250775,1740,1660892847.468250775,gps,0,0,35.6533149450,139.7924907900,4.3080000000,0,0,0,0,0,0,0,0,0,0
1660892847.669757762,1741,1660892847.669757762,gps,0,0,35.6533149033,139.7924907767,4.3070000000,0,0,0,0,0,0,0,0,0,0
1660892847.868245072,1742,1660892847.868245072,gps,0,0,35.6533148967,139.7924907800,4.3040000000,0,0,0,0,0,0,0,0,0,0
1660892848.072940049,1743,1660892848.072940049,gps,0,0,35.6533148833,139.7924907467,4.3100000000,0,0,0,0,0,0,0,0,0,0
1660892848.285930483,1744,1660892848.285930483,gps,0,0,35.6533148783,139.7924907167,4.2960000000,0,0,0,0,0,0,0,0,0,0
1660892848.468467775,1745,1660892848.468467775,gps,0,0,35.6533148650,139.7924907267,4.3030000000,0,0,0,0,0,0,0,0,0,0
1660892848.669071194,1746,1660892848.669071194,gps,0,0,35.6533148250,139.7924907783,4.3000000000,0,0,0,0,0,0,0,0,0,0
1660892848.861091129,1747,1660892848.861091129,gps,0,0,35.6533148300,139.7924907950,4.2960000000,0,0,0,0,0,0,0,0,0,0
1660892849.074618999,1748,1660892849.074618999,gps,0,0,35.6533148083,139.7924908017,4.2970000000,0,0,0,0,0,0,0,0,0,0
1660892849.274816292,1749,1660892849.274816292,gps,0,0,35.6533147900,139.7924907650,4.2990000000,0,0,0,0,0,0,0,0,0,0
1660892849.468507845,1750,1660892849.468507845,gps,0,0,35.6533147950,139.7924907600,4.2950000000,0,0,0,0,0,0,0,0,0,0
1660892849.671507692,1751,1660892849.671507692,gps,0,0,35.6533147900,139.7924907283,4.2900000000,0,0,0,0,0,0,0,0,0,0
1660892849.866852334,1752,1660892849.866852334,gps,0,0,35.6533148117,139.7924906500,4.2940000000,0,0,0,0,0,0,0,0,0,0
1660892850.076915081,1753,1660892850.076915081,gps,0,0,35.6533148950,139.7924905917,4.2980000000,0,0,0,0,0,0,0,0,0,0
1660892850.275697792,1754,1660892850.275697792,gps,0,0,35.6533148517,139.7924905400,4.3010000000,0,0,0,0,0,0,0,0,0,0
1660892850.470691136,1755,1660892850.470691136,gps,0,0,35.6533148700,139.7924905117,4.2960000000,0,0,0,0,0,0,0,0,0,0
1660892850.663376272,1756,1660892850.663376272,gps,0,0,35.6533148833,139.7924905167,4.2980000000,0,0,0,0,0,0,0,0,0,0
1660892850.868466589,1757,1660892850.868466589,gps,0,0,35.6533149067,139.7924904533,4.2970000000,0,0,0,0,0,0,0,0,0,0
1660892851.077699458,1758,1660892851.077699458,gps,0,0,35.6533148983,139.7924904433,4.3000000000,0,0,0,0,0,0,0,0,0,0
1660892851.278346175,1759,1660892851.278346175,gps,0,0,35.6533148983,139.7924904967,4.3010000000,0,0,0,0,0,0,0,0,0,0
1660892851.470882304,1760,1660892851.470882304,gps,0,0,35.6533148900,139.7924905067,4.2960000000,0,0,0,0,0,0,0,0,0,0
1660892851.669967641,1761,1660892851.669967641,gps,0,0,35.6533148850,139.7924904967,4.2970000000,0,0,0,0,0,0,0,0,0,0
1660892851.870918577,1762,1660892851.870918577,gps,0,0,35.6533148917,139.7924905133,4.2920000000,0,0,0,0,0,0,0,0,0,0
1660892852.075977991,1763,1660892852.075977991,gps,0,0,35.6533148600,139.7924905283,4.2960000000,0,0,0,0,0,0,0,0,0,0
1660892852.275800627,1764,1660892852.275800627,gps,0,0,35.6533148483,139.7924905000,4.2940000000,0,0,0,0,0,0,0,0,0,0
1660892852.461997574,1765,1660892852.461997574,gps,0,0,35.6533148417,139.7924904150,4.2900000000,0,0,0,0,0,0,0,0,0,0
1660892852.667823316,1766,1660892852.667823316,gps,0,0,35.6533148867,139.7924902100,4.2930000000,0,0,0,0,0,0,0,0,0,0
1660892852.865916563,1767,1660892852.865916563,gps,0,0,35.6533149100,139.7924903017,4.2950000000,0,0,0,0,0,0,0,0,0,0
1660892853.074686025,1768,1660892853.074686025,gps,0,0,35.6533148900,139.7924903967,4.3030000000,0,0,0,0,0,0,0,0,0,0
1660892853.273825297,1769,1660892853.273825297,gps,0,0,35.6533148700,139.7924906050,4.2970000000,0,0,0,0,0,0,0,0,0,0
1660892853.467613793,1770,1660892853.467613793,gps,0,0,35.6533148200,139.7924906367,4.3010000000,0,0,0,0,0,0,0,0,0,0
