field.header.seq,field.header.stamp,field.header.fream_if,field.status,field.status.service,field.latitude,field.longitude,field.altitude,position_convariance[0],positioon_convariance[1],positioon_convariance[2],positioon_convariance[3],positioon_convariance[4],positioon_convariance[5],positioon_convariance[6],positioon_convariance[7],positioon_convariance[8],position_covariance_type
1711,1660892841.663796504,gps,0,0,35.653315,139.792496,4.311000,0,0,0,0,0,0,0,0,0,0
1712,1660892841.866919818,gps,0,0,35.653315,139.792496,4.313000,0,0,0,0,0,0,0,0,0,0
1713,1660892842.072049450,gps,0,0,35.653315,139.792496,4.316000,0,0,0,0,0,0,0,0,0,0
1714,1660892842.275794093,gps,0,0,35.653315,139.792496,4.315000,0,0,0,0,0,0,0,0,0,0
1715,1660892842.468009219,gps,0,0,35.653315,139.792496,4.314000,0,0,0,0,0,0,0,0,0,0
1716,1660892842.668254425,gps,0,0,35.653315,139.792496,4.317000,0,0,0,0,0,0,0,0,0,0
1717,1660892842.867863020,gps,0,0,35.653315,139.792496,4.311000,0,0,0,0,0,0,0,0,0,0
1718,1660892843.073831056,gps,0,0,35.653315,139.792496,4.315000,0,0,0,0,0,0,0,0,0,0
1719,1660892843.273717591,gps,0,0,35.653315,139.792496,4.315000,0,0,0,0,0,0,0,0,0,0
1720,1660892843.467743261,gps,0,0,35.653315,139.792496,4.318000,0,0,0,0,0,0,0,0,0,0
1721,1660892843.666982204,gps,0,0,35.653315,139.792496,4.309000,0,0,0,0,0,0,0,0,0,0
1722,1660892843.864922556,gps,0,0,35.653315,139.792496,4.314000,0,0,0,0,0,0,0,0,0,0
1723,1660892844.075304448,gps,0,0,35.653315,139.792496,4.311000,0,0,0,0,0,0,0,0,0,0
1724,1660892844.284540713,gps,0,0,35.653315,139.792496,4.310000,0,0,0,0,0,0,0,0,0,0
1725,1660892844.467961033,gps,0,0,35.653315,139.792496,4.315000,0,0,0,0,0,0,0,0,0,0
1726,1660892844.668881956,gps,0,0,35.653315,139.792496,4.321000,0,0,0,0,0,0,0,0,0,0
1727,1660892844.866925030,gps,0,0,35.653315,139.792496,4.316000,0,0,0,0,0,0,0,0,0,0
1728,1660892845.071784039,gps,0,0,35.653315,139.792496,4.315000,0,0,0,0,0,0,0,0,0,0
1729,1660892845.268493873,gps,0,0,35.653315,139.792496,4.315000,0,0,0,0,0,0,0,0,0,0
1730,1660892845.468011155,gps,0,0,35.653315,139.792496,4.318000,0,0,0,0,0,0,0,0,0,0
1731,1660892845.667686852,gps,0,0,35.653315,139.792496,4.313000,0,0,0,0,0,0,0,0,0,0
1732,1660892845.868581651,gps,0,0,35.653315,139.792496,4.319000,0,0,0,0,0,0,0,0,0,0
1733,1660892846.073762806,gps,0,0,35.653315,139.792496,4.319000,0,0,0,0,0,0,0,0,0,0
1734,1660892846.279714907,gps,0,0,35.653315,139.792496,4.311000,0,0,0,0,0,0,0,0,0,0
1735,1660892846.469956953,gps,0,0,35.653315,139.792496,4.312000,0,0,0,0,0,0,0,0,0,0
1736,1660892846.669868978,gps,0,0,35.653315,139.792496,4.314000,0,0,0,0,0,0,0,0,0,0
1737,1660892846.868746755,gps,0,0,35.653315,139.792496,4.309000,0,0,0,0,0,0,0,0,0,0
1738,1660892847.069822812,gps,0,0,35.653315,139.792496,4.310000,0,0,0,0,0,0,0,0,0,0
1739,1660892847.269537455,gps,0,0,35.653315,139.792496,4.309000,0,0,0,0,0,0,0,0,0,0
1740,1660892847.468250775,gps,0,0,35.653315,139.792496,4.308000,0,0,0,0,0,0,0,0,0,0
1741,1660892847.669757762,gps,0,0,35.653315,139.792496,4.307000,0,0,0,0,0,0,0,0,0,0
1742,1660892847.868245072,gps,0,0,35.653315,139.792496,4.304000,0,0,0,0,0,0,0,0,0,0
1743,1660892848.072940049,gps,0,0,35.653315,139.792496,4.310000,0,0,0,0,0,0,0,0,0,0
1744,1660892848.285930483,gps,0,0,35.653315,139.792496,4.296000,0,0,0,0,0,0,0,0,0,0
1745,1660892848.468467775,gps,0,0,35.653315,139.792496,4.303000,0,0,0,0,0,0,0,0,0,0
1746,1660892848.669071194,gps,0,0,35.653315,139.792496,4.300000,0,0,0,0,0,0,0,0,0,0
1747,1660892848.861091129,gps,0,0,35.653315,139.792496,4.296000,0,0,0,0,0,0,0,0,0,0
1748,1660892849.074618999,gps,0,0,35.653315,139.792496,4.297000,0,0,0,0,0,0,0,0,0,0
1749,1660892849.274816292,gps,0,0,35.653315,139.792496,4.299000,0,0,0,0,0,0,0,0,0,0
1750,1660892849.468507845,gps,0,0,35.653315,139.792496,4.295000,0,0,0,0,0,0,0,0,0,0
1751,1660892849.671507692,gps,0,0,35.653315,139.792496,4.290000,0,0,0,0,0,0,0,0,0,0
1752,1660892849.866852334,gps,0,0,35.653315,139.792496,4.294000,0,0,0,0,0,0,0,0,0,0
1753,1660892850.076915081,gps,0,0,35.653315,139.792496,4.298000,0,0,0,0,0,0,0,0,0,0
1754,1660892850.275697792,gps,0,0,35.653315,139.792496,4.301000,0,0,0,0,0,0,0,0,0,0
1755,1660892850.470691136,gps,0,0,35.653315,139.792496,4.296000,0,0,0,0,0,0,0,0,0,0
1756,1660892850.663376272,gps,0,0,35.653315,139.792496,4.298000,0,0,0,0,0,0,0,0,0,0
1757,1660892850.868466589,gps,0,0,35.653315,139.792496,4.297000,0,0,0,0,0,0,0,0,0,0
1758,1660892851.077699458,gps,0,0,35.653315,139.792496,4.300000,0,0,0,0,0,0,0,0,0,0
1759,1660892851.278346175,gps,0,0,35.653315,139.792496,4.301000,0,0,0,0,0,0,0,0,0,0
1760,1660892851.470882304,gps,0,0,35.653315,139.792496,4.296000,0,0,0,0,0,0,0,0,0,0
1761,1660892851.669967641,gps,0,0,35.653315,139.792496,4.297000,0,0,0,0,0,0,0,0,0,0
1762,1660892851.870918577,gps,0,0,35.653315,139.792496,4.292000,0,0,0,0,0,0,0,0,0,0
1763,1660892852.075977991,gps,0,0,35.653315,139.792496,4.296000,0,0,0,0,0,0,0,0,0,0
1764,1660892852.275800627,gps,0,0,35.653315,139.792496,4.294000,0,0,0,0,0,0,0,0,0,0
1765,1660892852.461997574,gps,0,0,35.653315,139.792496,4.290000,0,0,0,0,0,0,0,0,0,0
1766,1660892852.667823316,gps,0,0,35.653315,139.792496,4.293000,0,0,0,0,0,0,0,0,0,0
1767,1660892852.865916563,gps,0,0,35.653315,139.792496,4.295000,0,0,0,0,0,0,0,0,0,0
1768,1660892853.074686025,gps,0,0,35.653315,139.792496,4.303000,0,0,0,0,0,0,0,0,0,0
1769,1660892853.273825297,gps,0,0,35.653315,139.792496,4.297000,0,0,0,0,0,0,0,0,0,0
1770,1660892853.467613793,gps,0,0,35.653315,139.792496,4.301000,0,0,0,0,0,0,0,0,0,0
1771,1660892853.667928753,gps,0,0,35.653315,139.792496,4.299000,0,0,0,0,0,0,0,0,0,0
1772,1660892853.867964014,gps,0,0,35.653315,139.792496,4.299000,0,0,0,0,0,0,0,0,0,0
1773,1660892854.071931419,gps,0,0,35.653315,139.792496,4.295000,0,0,0,0,0,0,0,0,0,0
1774,1660892854.267897190,gps,0,0,35.653315,139.792496,4.300000,0,0,0,0,0,0,0,0,0,0
1775,1660892854.468560647,gps,0,0,35.653315,139.792496,4.302000,0,0,0,0,0,0,0,0,0,0
1776,1660892854.667981564,gps,0,0,35.653315,139.792496,4.294000,0,0,0,0,0,0,0,0,0,0
1777,1660892854.867822097,gps,0,0,35.653315,139.792496,4.293000,0,0,0,0,0,0,0,0,0,0
1778,1660892855.073996837,gps,0,0,35.653316,139.792496,4.299000,0,0,0,0,0,0,0,0,0,0
